concept:person:young	concept:personmovedtostateorprovince	concept:mutualproxyfor	concept:city:marina
concept:country:u_s_	concept:countryoforganizationheadquarters	concept:synonymfor	concept:governmentorganization:bureau
concept:person:george001	concept:agentcollaborateswithagent	concept:politicalgroupofpoliticianus	concept:politicianus:democrat_bill_clinton
concept:clothing:tuxedo	concept:clothingtogowithclothing	concept:clothingmadefromplant	concept:plant:bamboo
concept:city:use	concept:agentcompeteswithagent	concept:animalsuchasinvertebrate	concept:animal:deer001
concept:person:george001	concept:agentcollaborateswithagent	concept:politicalgroupofpoliticianus	concept:politicianus:mitt_romney
concept:biotechcompany:section	concept:agentcompeteswithagent	concept:countryhascitizen	concept:person:mohammed
concept:politicianus:jobs	concept:politicianrepresentslocation	concept:mutualproxyfor	concept:book:six
concept:software:adobe_pagemaker	concept:producedby	concept:competeswith	concept:company:ebay001
concept:city:land	concept:agentcollaborateswithagent	concept:countryoforganizationheadquarters	concept:governmentorganization:health
