acquired_abnormality	location_of	experimental_model_of_disease
anatomical_abnormality	manifestation_of	physiologic_function
alga	isa	entity
mental_or_behavioral_dysfunction	affects	experimental_model_of_disease
health_care_activity	associated_with	anatomical_abnormality
population_group	interacts_with	age_group
clinical_attribute	result_of	natural_phenomenon_or_process
body_part_organ_or_organ_component	location_of	biologic_function
biologically_active_substance	complicates	anatomical_abnormality
disease_or_syndrome	result_of	acquired_abnormality
